0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
Devdaha Municipality,0,3,111,,,114,,3456,,3456,3570
"801051053 Recurrent 0 3 111 114 3456 3456 3570
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 3294 3294 3294
2103003 WB - Trust Fund Code 0 30 30 0 30
2116001 School Education Sector Plan (SESP)- Pool Fund 81 81 162 162 243
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,111,,,114,,3456,,3456,3570
Lumbini Sanskritik Municipality,0,8,196,,,204,,3759,,3759,3963
"801051063 Recurrent 0 8 196 204 3759 3759 3963
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 3423 3423 3423
2103003 WB - Trust Fund Code 0 30 30 0 30
2116001 School Education Sector Plan (SESP)- Pool Fund 166 166 336 336 502
Code 0
2229001 EU - General Code 0 3 3 0 3
2301001 GEFMAT- General Code 0 5 5 0 5",0,8,196,,,204,,3759,,3759,3963
Siddharthnaar Municipality,0,4,73,,,77,,3762,,3762,3839
"801051073 Recurrent 0 4 73 77 3762 3762 3839
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 3615 3615 3615
2116001 School Education Sector Plan (SESP)- Pool Fund 73 73 147 147 220
Code 0
2229001 EU - General Code 0 3 3 0 3
2301001 GEFMAT- General Code 0 1 1 0 1",0,4,73,,,77,,3762,,3762,3839
Sainamaina Municipality,0,4,139,,,143,,3466,,3466,3609
"801051083 Recurrent 0 4 139 143 3466 3466 3609
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 3297 3297 3297
2103003 WB - Trust Fund Code 0 55 55 0 55
2116001 School Education Sector Plan (SESP)- Pool Fund 84 84 169 169 253
Code 0
2229001 EU - General Code 0 3 3 0 3
2301001 GEFMAT- General Code 0 1 1 0 1",0,4,139,,,143,,3466,,3466,3609
Kapilvastu Municipality,0,20,148,,,168,,300,,300,468
"801051093 Recurrent 0 20 148 168 300 300 468
GoN Ref: Counterpart 0",0,20,148,,,168,,300,,300,468
106,,,,,,,,,,,
