0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2229001 EU - General Code 0 20 20 0 20,,,,,,,,,,,
Lomangthang Rural Municipality,0,20,16,,,36,,33,,33,69
"801043573 Recurrent 0 20 16 36 33 33 69
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 16 16 33 33 49
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,16,,,36,,33,,33,69
Barhagaun Muktichhetra Rural Municipality,0,20,19,,,39,,39,,39,78
"801043583 Recurrent 0 20 19 39 39 39 78
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 19 19 39 39 58
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,19,,,39,,39,,39,78
Butwal Sub Metropolitan City,0,89,167,,,256,,338,,338,594
"801050313 Recurrent 0 89 167 256 338 338 594
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 167 167 338 338 505
Code 0
2223002 Switzerland - SDC Code 0 85 85 0 85
2229001 EU - General Code 0 3 3 0 3
2301001 GEFMAT- General Code 0 1 1 0 1",0,89,167,,,256,,338,,338,594
Ghorahi Sub Metropolitan City,0,73,248,,,321,,410,,410,731
"801050323 Recurrent 0 73 248 321 410 410 731
GoN Ref: Counterpart 0
2103003 WB - Trust Fund Code 0 45 45 0 45
2116001 School Education Sector Plan (SESP)- Pool Fund 203 203 410 410 613
Code 0
2223002 Switzerland - SDC Code 0 70 70 0 70
2229001 EU - General Code 0 3 3 0 3",0,73,248,,,321,,410,,410,731
Tulasipur Sub Metropolitan City,0,4,178,,,182,,359,,359,541
"801050333 Recurrent 0 4 178 182 359 359 541
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 178 178 359 359 537
Code 0
2229001 EU - General Code 0 3 3 0 3
2301001 GEFMAT- General Code 0 1 1 0 1",0,4,178,,,182,,359,,359,541
Nepalgujng Sub Metropolitan City,0,4,201,,,205,,405,,405,610
801050343 Recurrent 0 4 201 205 405 405 610,0,4,201,,,205,,405,,405,610
104,,,,,,,,,,,
