0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"801021393 Recurrent 0 20 89 109 180 180 289
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 89 89 180 180 269
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,89,,,109,,180,,180,289
Godaita Municipality,0,17,98,,,115,,196,,196,311
"801021403 Recurrent 0 17 98 115 196 196 311
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 98 98 196 196 294
Code 0
2229001 EU - General Code 0 17 17 0 17",0,17,98,,,115,,196,,196,311
Malangawa Municipality,0,17,62,,,79,,124,,124,203
"801021413 Recurrent 0 17 62 79 124 124 203
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 62 62 124 124 186
Code 0
2229001 EU - General Code 0 17 17 0 17",0,17,62,,,79,,124,,124,203
Lalbandi Municipality,0,17,106,,,123,,215,,215,338
"801021423 Recurrent 0 17 106 123 215 215 338
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 106 106 215 215 321
Code 0
2229001 EU - General Code 0 17 17 0 17",0,17,106,,,123,,215,,215,338
Barhathwa Municipality,0,40,108,,,148,,218,,218,366
"801021433 Recurrent 0 40 108 148 218 218 366
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 108 108 218 218 326
Code 0
2229001 EU - General Code 0 40 40 0 40",0,40,108,,,148,,218,,218,366
Balara Municipality,0,41,95,,,136,,191,,191,327
"801021443 Recurrent 0 41 95 136 191 191 327
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 95 95 191 191 286
Code 0
2229001 EU - General Code 0 40 40 0 40
2301001 GEFMAT- General Code 0 1 1 0 1",0,41,95,,,136,,191,,191,327
Bagmati Municipality,0,17,53,,,70,,107,,107,177
801021453 Recurrent 0 17 53 70 107 107 177,0,17,53,,,70,,107,,107,177
56,,,,,,,,,,,
