0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2301001 GEFMAT- General Code 0 635 635 0 635,,,,,,,,,,,
Control of Aids and Sexually Transmitted Diseases,0,518,,,,518,,,,0,518
"370011023 Recurrent 0 518 518 0 518
GoN Ref: Counterpart 0
2301001 GEFMAT- General Code 0 518 518 0 518",0,518,,,,518,,,,0,518
Family Welfare Program,0,197,,795,12970,13962,,,,0,13962
"370011033 Recurrent 0 197 795 12418 13410 0 13410
GoN Ref: Counterpart 0
2109008 UNFPA Code 0 50 50 0 50
2109011 UNICEF Code 0 377 377 0 377
2109024 WHO Code 0 368 368 0 368
2305001 Gavi - General Code 0 197 12418 12615 0 12615
370011034 Capital 0 552 552 0 552
GoN Ref: Counterpart 0
2305001 Gavi - General Code 0 552 552 0 552",0,197,,795,12418,13410,,,,0,13410
Epidemiology Disease Control Program,0,456,,299,,755,,,,0,755
"370011053 Recurrent 0 456 299 755 0 755
GoN Ref: Counterpart 0
2109011 UNICEF Code 0 49 49 0 49
2109024 WHO Code 0 99 250 349 0 349
2301001 GEFMAT- General Code 0 357 357 0 357",0,456,,299,,755,,,,0,755
Health Management Program,0,1327,,77,,1404,,,,0,1404
"370011073 Recurrent 0 52 77 129 0 129
GoN Ref: Counterpart 0
2109011 UNICEF Code 0 15 15 0 15
2109024 WHO Code 0 62 62 0 62
2305001 Gavi - General Code 0 52 52 0 52
370011074 Capital 0 1275 1275 0 1275
GoN Ref: Counterpart 0
2108001 SAARC Fund Code 0 1275 1275 0 1275",0,52,,77,,129,,,,0,129
"National Health Education, Information & Communication Centre",0,95,,84,,179,,,,0,179
"370011093 Recurrent 0 95 84 179 0 179
GoN Ref: Counterpart 0
2109008 UNFPA Code 0 40 40 0 40
2109011 UNICEF Code 0 30 30 0 30
2109024 WHO Code 0 44 44 0 44
2305001 Gavi - General Code 0 65 65 0 65",0,95,,84,,179,,,,0,179
17,,,,,,,,,,,
