0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"2116001 School Education Sector Plan (SESP)- Pool Fund 66 66 134 134 200
Code 0
2223002 Switzerland - SDC Code 0 25 25 0 25
2229001 EU - General Code 0 3 3 0 3",,,,,,,,,,,
Inaruwa Municipality,0,3,75,,,78,,151,,151,229
"801011273 Recurrent 0 3 75 78 151 151 229
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 75 75 151 151 226
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,75,,,78,,151,,151,229
Duhabi Municipality,0,61,72,,,133,,144,,144,277
"801011283 Recurrent 0 61 72 133 144 144 277
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 72 72 144 144 216
Code 0
2223002 Switzerland - SDC Code 0 58 58 0 58
2229001 EU - General Code 0 3 3 0 3",0,61,72,,,133,,144,,144,277
Barah Chhetra Municipality,0,16,116,,,132,,235,,235,367
"801011293 Recurrent 0 16 116 132 235 235 367
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 116 116 235 235 351
Code 0
2223002 Switzerland - SDC Code 0 13 13 0 13
2229001 EU - General Code 0 3 3 0 3",0,16,116,,,132,,235,,235,367
Ramdhuni Municipality,0,132,63,,,195,,127,,127,322
"801011303 Recurrent 0 132 63 195 127 127 322
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 63 63 127 127 190
Code 0
2223002 Switzerland - SDC Code 0 129 129 0 129
2229001 EU - General Code 0 3 3 0 3",0,132,63,,,195,,127,,127,322
Urlabari Municipality,0,69,149,,,218,,1426,,1426,1644
"801011313 Recurrent 0 69 149 218 1426 1426 1644
GoN Ref: Counterpart 0
2103001 IDA - General Code 0 0 1301 1301 1301
2103003 WB - Trust Fund Code 0 87 87 0 87
2116001 School Education Sector Plan (SESP)- Pool Fund 62 62 125 125 187
Code 0",0,69,149,,,218,,1426,,1426,1644
30,,,,,,,,,,,
