0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"801013673 Recurrent 0 3 26 29 53 53 82
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 26 26 53 53 79
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,26,,,29,,53,,53,82
Likhupike Rural Municipality,0,3,22,,,25,,44,,44,69
"801013683 Recurrent 0 3 22 25 44 44 69
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 22 22 44 44 66
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,22,,,25,,44,,44,69
Sotang Rural Municipality,0,3,33,,,36,,66,,66,102
"801013693 Recurrent 0 3 33 36 66 66 102
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 33 33 66 66 99
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,33,,,36,,66,,66,102
Aiselukharka Rural Municipality,0,18,37,,,55,,75,,75,130
"801013703 Recurrent 0 18 37 55 75 75 130
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 37 37 75 75 112
Code 0
2229001 EU - General Code 0 18 18 0 18",0,18,37,,,55,,75,,75,130
Kepilasgadhi Rural Municipality,0,147,38,,,185,,76,,76,261
"801013713 Recurrent 0 147 38 185 76 76 261
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 38 38 76 76 114
Code 0
2223002 Switzerland - SDC Code 0 129 129 0 129
2229001 EU - General Code 0 18 18 0 18",0,147,38,,,185,,76,,76,261
Khotehang Rural Municipality,0,76,62,,,138,,127,,127,265
"801013723 Recurrent 0 76 62 138 127 127 265
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 62 62 127 127 189
Code 0
2223002 Switzerland - SDC Code 0 58 58 0 58
2229001 EU - General Code 0 18 18 0 18",0,76,62,,,138,,127,,127,265
,,,,,,,,,,,
45,,,,,,,,,,,
