0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 38 38 77 77 115
Code 0
2229001 EU - General Code 0 3 3 0 3",,,,,,,,,,,
Kaligandaki Rural Municipality,0,3,37,,,40,,75,,75,115
"801043073 Recurrent 0 3 37 40 75 75 115
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 37 37 75 75 112
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,37,,,40,,75,,75,115
Phedikhola Rural Municipality,0,3,23,,,26,,46,,46,72
"801043083 Recurrent 0 3 23 26 46 46 72
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 23 23 46 46 69
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,23,,,26,,46,,46,72
Biruwa Rural Municipality,0,3,29,,,32,,59,,59,91
"801043093 Recurrent 0 3 29 32 59 59 91
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 29 29 59 59 88
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,29,,,32,,59,,59,91
Harinash Rural Municipality,0,3,35,,,38,,71,,71,109
"801043103 Recurrent 0 3 35 38 71 71 109
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 35 35 71 71 106
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,35,,,38,,71,,71,109
Aanbukhaireni Rural Municipality,0,3,35,,,38,,71,,71,109
"801043113 Recurrent 0 3 35 38 71 71 109
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 35 35 71 71 106
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,35,,,38,,71,,71,109
Rishing Rural Municipality,0,3,45,,,48,,90,,90,138
"801043123 Recurrent 0 3 45 48 90 90 138
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 45 45 90 90 135
Code 0",0,3,45,,,48,,90,,90,138
96,,,,,,,,,,,
