0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"GoN Ref: Counterpart 0
2216002 Japan - JICA Code 0 12900 12900 0 12900",,,,,,,,,,,
Kathmandu Valley Drinking water and Improvement Project,0,,,,,0,,730,,730,730
"501131055 Finance 0 0 730 730 730
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 730 730 730",0,,,,,0,,730,,730,730
Kathmandu Valley Sewarage Management Project,0,,,,,0,8300,16244,,24544,24544
"501131065 Finance 0 0 8300 16244 24544 24544
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 6828 13391 20219 20219
2107001 OFID Code 0 0 1472 2853 4325 4325",0,,,,,0,8300,16244,,24544,24544
Kathmandu Valley Water Supply Improvement Project- Second,0,,,,,0,6989,12751,,19740,19740
"501131085 Finance 0 0 6989 12751 19740 19740
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 6989 12751 19740 19740",0,,,,,0,6989,12751,,19740,19740
Pokhara Regional International Airport,0,,,,,0,5000,,,5000,5000
"501251045 Finance 0 0 5000 5000 5000
GoN Ref: Counterpart 0
2207002 China - Exim Bank Code 0 0 5000 5000 5000",0,,,,,0,5000,,,5000,5000
.,0,,,,,0,41500,,,41500,41500
"501251095 Finance 0 0 41500 41500 41500
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 41500 41500 41500",0,,,,,0,41500,,,41500,41500
Forests for Prosperity,0,,,,,0,,22100,,22100,22100
"501291025 Finance 0 0 22100 22100 22100
GoN Ref: Counterpart 0
2103003 WB - Trust Fund Code 0 0 22100 22100 22100",0,,,,,0,,22100,,22100,22100
Urban Development Fund -Drinking Water,0,,,,,0,,1681,,1681,1681
"501471015 Finance 0 0 1681 1681 1681
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 1681 1681 1681",0,,,,,0,,1681,,1681,1681
Urban Resilience and Livability Improvement Project,0,,,,,0,,4067,,4067,4067
"501471075 Finance 0 0 4067 4067 4067
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 4067 4067 4067
602 MOF Miscellaneous 0 0 70932 70932 70932",0,,,,,0,,4067,,4067,4067
,,,,,,,,,,,
21,,,,,,,,,,,
