0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 57 57 114 114 171
Code 0
2229001 EU - General Code 0 30 30 0 30",,,,,,,,,,,
Triveni Rural Municipality,0,36,63,126,,225,,128,,128,353
"801063303 Recurrent 0 36 63 126 225 128 128 353
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 63 63 128 128 191
Code 0
2209003 Finland - Pool Fund Code 0 126 126 0 126
2229001 EU - General Code 0 36 36 0 36",0,36,63,126,,225,,128,,128,353
Baphikot Rural Municipality,0,39,60,,,99,,122,,122,221
"801063313 Recurrent 0 39 60 99 122 122 221
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 60 60 122 122 182
Code 0
2229001 EU - General Code 0 39 39 0 39",0,39,60,,,99,,122,,122,221
Saniveri Rural Municipality,0,41,69,247,,357,,139,,139,496
"801063323 Recurrent 0 41 69 247 357 139 139 496
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 69 69 139 139 208
Code 0
2209003 Finland - Pool Fund Code 0 247 247 0 247
2229001 EU - General Code 0 41 41 0 41",0,41,69,247,,357,,139,,139,496
Kapurkot Rural Municipality,0,31,46,,,77,,93,,93,170
"801063333 Recurrent 0 31 46 77 93 93 170
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 46 46 93 93 139
Code 0
2229001 EU - General Code 0 31 31 0 31",0,31,46,,,77,,93,,93,170
Kalimati Rural Municipality,0,41,55,,,96,,112,,112,208
"801063343 Recurrent 0 41 55 96 112 112 208
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 55 55 112 112 167
Code 0
2229001 EU - General Code 0 41 41 0 41",0,41,55,,,96,,112,,112,208
Kumakh Rural Municipality,0,41,59,82,,182,,118,,118,300
801063353 Recurrent 0 41 59 82 182 118 118 300,0,41,59,82,,182,,118,,118,300
134,,,,,,,,,,,
