0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2229001 EU - General Code 0 3 3 0 3,,,,,,,,,,,
Roshi Rural Municipality,0,3,69,,,72,,139,,139,211
"801033653 Recurrent 0 3 69 72 139 139 211
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 69 69 139 139 208
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,69,,,72,,139,,139,211
Indrasarowar Rural Municipality,0,3,30,,,33,,61,,61,94
"801033663 Recurrent 0 3 30 33 61 61 94
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 30 30 61 61 91
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,30,,,33,,61,,61,94
Kailash Rural Municipality,0,34,54,,,88,,109,,109,197
"801033673 Recurrent 0 34 54 88 109 109 197
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 54 54 109 109 163
Code 0
2229001 EU - General Code 0 34 34 0 34",0,34,54,,,88,,109,,109,197
Bakaiya Rural Municipality,0,30,90,,,120,,183,,183,303
"801033683 Recurrent 0 30 90 120 183 183 303
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 90 90 183 183 273
Code 0
2229001 EU - General Code 0 30 30 0 30",0,30,90,,,120,,183,,183,303
Bagmati Rural Municipality,0,3,57,,,60,,116,,116,176
"801033693 Recurrent 0 3 57 60 116 116 176
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 57 57 116 116 173
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,57,,,60,,116,,116,176
Bhimphedi Rural Municipality,0,3,47,,,50,,96,,96,146
"801033703 Recurrent 0 3 47 50 96 96 146
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 47 47 96 96 143
Code 0",0,3,47,,,50,,96,,96,146
89,,,,,,,,,,,
