0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2229001 EU - General Code 0 3 3 0 3,,,,,,,,,,,
Mangala Rural Municipality,0,3,41,,,44,,83,,83,127
"801043513 Recurrent 0 3 41 44 83 83 127
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 41 41 83 83 124
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,41,,,44,,83,,83,127
Malika Rural Municipality,0,3,47,,,50,,94,,94,144
"801043523 Recurrent 0 3 47 50 94 94 144
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 47 47 94 94 141
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,47,,,50,,94,,94,144
Raghuganga Rural Municipality,0,3,38,,,41,,76,,76,117
"801043533 Recurrent 0 3 38 41 76 76 117
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 38 38 76 76 114
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,38,,,41,,76,,76,117
Gharpajhong Rural Municipality,0,3,28,,,31,,57,,57,88
"801043543 Recurrent 0 3 28 31 57 57 88
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 28 28 57 57 85
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,28,,,31,,57,,57,88
Thasang Rural Municipality,0,3,24,,,27,,48,,48,75
"801043553 Recurrent 0 3 24 27 48 48 75
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 24 24 48 48 72
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,24,,,27,,48,,48,75
Lo-Ghekar Damodarkunda Rural Municipality,0,20,12,,,32,,24,,24,56
"801043563 Recurrent 0 20 12 32 24 24 56
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 12 12 24 24 36
Code 0",0,20,12,,,32,,24,,24,56
103,,,,,,,,,,,
