0,1,2,3,4,5,6,7,8,9,10,11
66,,,,,,,,,,,
शशीीषषक(cid:4)क(cid:4),(cid:6)(cid:6)ोोतत,(cid:9)(cid:9)ननककााससाा (cid:14)(cid:14)वव(cid:9)(cid:9)धध,"22008811//8822 ककोो
ययथथााथथ (cid:4) (cid:4)खखचच(cid:4)(cid:4)","22008822//8833 ककोो
ससंशंशोो(cid:9)(cid:9)धधतत अअननममुु ाानन",22008833//8844,,,,"(cid:32)(cid:32)ााथथ(cid:9)(cid:9)ममककतताा
ससंकंकेेतत","(cid:34)(cid:34)ददगगोो
(cid:14)(cid:14)ववककाासस
ससंकंकेेतत","ललै(cid:9)ै(cid:9)गगंकंक
ससंकंकेेतत"
,,,,,जज(cid:40)(cid:40)ममाा बबजजेटेट,ननेपेपाालल ससररककाारर,ववैदैदेेििशशकक,,,,
,,,,,,,अअननददुुाानन,ऋऋणण,,,
"330011001100114444 पपजँजँुु ीीगगतत 55,,0066 1122,,7777 00 00 00 00",,,,,,,,,,,
"31112 गैर आवासीय भवन (cid:9)नमा(cid:4)ण/ख(cid:60)रद नेपाल सरकार नगद 1,96 6,65 0 0 0 0
31113 (cid:9)न(cid:9)मत(cid:4) भवनको संरचना(cid:94)मक सधु ार खच(cid:4) नेपाल सरकार नगद 0 4 0 0 0 0
31122 मेिशनर(cid:62) तथा औजार नेपाल सरकार नगद 1,05 2,41 0 0 0 0
31123 फ(cid:9)नच(cid:4) र तथा (cid:14)फ(cid:88)चस(cid:4) नेपाल सरकार नगद 1,56 2,04 0 0 0 0
31161 (cid:9)न(cid:9)मत(cid:4) भवनको संरचना(cid:94)मक सधु ार खच(cid:4) नेपाल सरकार नगद 1 1 0 0 0 0
31171 पूजँ ीगत सधु ार खच (cid:4)सावज(cid:4) (cid:9)नक (cid:9)नमा(cid:4)ण नेपाल सरकार नगद 48 1,62 0 0 0 0
3300110022 ससााववज(cid:4)ज(cid:4) (cid:9)(cid:9)ननकक खख(cid:60)(cid:60)ररदद अअननगगुु ममनन ककााययाा(cid:4)ल(cid:4)लयय 55,,6633 1199,,4455 2200,,9977 2200,,9977 00 00",,,,,,,,,,,
"3300110022001111 ससााववज(cid:4)ज(cid:4) (cid:9)(cid:9)ननकक खख(cid:60)(cid:60)ररदद अअननगगुु ममनन ककााययाा(cid:4)ल(cid:4)लयय 55,,6633 1199,,4455 2200,,9977 2200,,9977 00 00 P1 00 33",,,,,,,,,,,
"330011002200111133 चचााललुु 55,,2288 1111,,5522 1144,,9988 1144,,9988 00 00",,,,,,,,,,,
"21111 पा(cid:60)र(cid:61)(cid:9)मक कमच(cid:4) ार(cid:62) नेपाल सरकार नगद 2,53 2,48 2,58 2,58 0 0
21112 पा(cid:60)र(cid:61)(cid:9)मक पदा(cid:9)धकार(cid:62) नेपाल सरकार नगद 31 46 48 48 0 0
21121 पोशाक नेपाल सरकार नगद 3 3 3 3 0 0
21132 महंगी भ(cid:64)ा नेपाल सरकार नगद 8 17 20 20 0 0
21134 कमच(cid:4) ार(cid:62)को बैठक भ(cid:64)ा नेपाल सरकार नगद 0 9 4 4 0 0
21139 अ(cid:66)य भ(cid:64)ा नेपाल सरकार नगद 0 1 1 1 0 0
21212 योगदानमा आधा(cid:60)रत (cid:9)नवतृ भरण तथा उपदान कोष खच(cid:4) नेपाल सरकार नगद 2 3 4 4 0 0
21213 योगदानमा आधा(cid:60)रत बीमा कोष खच(cid:4) नेपाल सरकार नगद 1 2 2 2 0 0
22111 पानी तथा (cid:9)बजलु (cid:62) नेपाल सरकार नगद 9 16 15 15 0 0
22112 संचार महसलु नेपाल सरकार नगद 9 12 12 12 0 0
22212 इ(cid:66)धन (काया(cid:4)लय (cid:32)योजन) नेपाल सरकार नगद 21 23 25 25 0 0
22213 सवार(cid:62) साधन ममत(cid:4) खच(cid:4) नेपाल सरकार नगद 18 23 21 21 0 0
22214 वीमा तथा नवीकरण खच(cid:4) नेपाल सरकार नगद 4 6 11 11 0 0
22221 मेिशनर(cid:62) तथा औजार ममत(cid:4) स(cid:40)भार तथा स(cid:49)ालन खच(cid:4) नेपाल सरकार नगद 5 6 6 6 0 0
22231 (cid:9)न(cid:9)मत(cid:4) सावज(cid:4) (cid:9)नक स(cid:40)पि(cid:64)को ममत(cid:4) स(cid:40)भार खच(cid:4) नेपाल सरकार नगद 0 1 1 1 0 0
22311 मसल(cid:66)द तथा काया(cid:4)लय सामा(cid:73)ी नेपाल सरकार नगद 18 21 20 20 0 0
22314 इ(cid:66)धन - अ(cid:66)य (cid:32)योजन नेपाल सरकार नगद 0 3 3 3 0 0
22315 प(cid:75)प(cid:9)(cid:75)का, छपाई तथा सूचना (cid:32)काशन खच(cid:4) नेपाल सरकार नगद 30 39 35 35 0 0
22411 सेवा र परामश (cid:4)खच(cid:4) नेपाल सरकार नगद 4 20 1,02 1,02 0 0
22412 सूचना (cid:32)णाल(cid:62) तथा स(cid:89)टवेयर संचालन खच(cid:4) नेपाल सरकार नगद 1 4,45 6,74 6,74 0 0
22413 करार सेवा श(cid:79)ुक नेपाल सरकार नगद 49 53 55 55 0 0
22511 कमच(cid:4) ार(cid:62) ता(cid:9)लम खच(cid:4) नेपाल सरकार नगद 2 7 15 15 0 0
22512 सीप (cid:14)वकास तथा जनचेतना ता(cid:9)लम तथा गो(cid:92)ी स(cid:40)ब(cid:66)धी खच(cid:4) नेपाल सरकार नगद 40 61 75 75 0 0
22522 काय(cid:80)(cid:4) म खच(cid:4) नेपाल सरकार नगद 1 31 53 53 0 0
22611 अनगु मन, मू(cid:79)यांकन खच(cid:4) नेपाल सरकार नगद 9 20 19 19 0 0
22612 (cid:85)मण खच(cid:4) नेपाल सरकार नगद 0 1 1 1 0 0",,,,,,,,,,,
,,,,,,,,,,,
