0,1,2,3,4,5,6,7,8,9,10,11
60,,,,,,,,,,,
शशीीषषक(cid:4)क(cid:4),(cid:6)(cid:6)ोोतत,(cid:9)(cid:9)ननककााससाा (cid:14)(cid:14)वव(cid:9)(cid:9)धध,"22008811//8822 ककोो
ययथथााथथ (cid:4) (cid:4)खखचच(cid:4)(cid:4)","22008822//8833 ककोो
ससंशंशोो(cid:9)(cid:9)धधतत अअननममुु ाानन",22008833//8844,,,,"(cid:32)(cid:32)ााथथ(cid:9)(cid:9)ममककतताा
ससंकंकेेतत","(cid:34)(cid:34)ददगगोो
(cid:14)(cid:14)ववककाासस
ससंकंकेेतत","ललै(cid:9)ै(cid:9)गगंकंक
ससंकंकेेतत"
,,,,,जज(cid:40)(cid:40)ममाा बबजजेटेट,ननेपेपाालल ससररककाारर,ववैदैदेेििशशकक,,,,
,,,,,,,अअननददुुाानन,ऋऋणण,,,
"31123 फ(cid:9)नच(cid:4) र तथा (cid:14)फ(cid:88)चस(cid:4) नेपाल सरकार नगद 1 6 5 5 0 0
31161 (cid:9)न(cid:9)मत(cid:4) भवनको संरचना(cid:94)मक सधु ार खच(cid:4) नेपाल सरकार नगद 0 4 2 2 0 0
330011 (cid:32)(cid:32)धधााननमम(cid:66)(cid:66)(cid:75)(cid:75)ीी ततथथाा ममिि(cid:66)(cid:66)(cid:75)(cid:75)पप(cid:60)(cid:60)ररषष(cid:112)(cid:112)ककोो ककााययाा(cid:4)ल(cid:4)लयय 44,,1166,,8877 55,,3311,,9988 77,,4488,,5522 55,,9933,,0099 00 11,,5555,,4433
3300110000 (cid:32)(cid:32)धधााननमम(cid:66)(cid:66)(cid:75)(cid:75)ीी ततथथाा ममिि(cid:66)(cid:66)(cid:75)(cid:75)पप(cid:60)(cid:60)ररषष(cid:112)(cid:112)ककोो ककााययाा(cid:4)ल(cid:4)लयय 3344,,4488 5566,,7744 11,,9966,,2200 6622,,3377 00 11,,3333,,8833",,,,,,,,,,,
"3300110000001111 ममिि(cid:66)(cid:66)(cid:75)(cid:75)पप(cid:60)(cid:60)ररषष(cid:111)(cid:111) 44,,1155 77,,9911 88,,1177 88,,1177 00 00 P1 00 33",,,,,,,,,,,
"330011000000111133 चचााललुु 44,,1155 77,,9911 88,,1177 88,,1177 00 00",,,,,,,,,,,
"21112 पा(cid:60)र(cid:61)(cid:9)मक पदा(cid:9)धकार(cid:62) नेपाल सरकार नगद 1,65 3,75 3,91 3,91 0 0
21121 पोशाक नेपाल सरकार नगद 5 7 7 7 0 0
22112 संचार महसलु नेपाल सरकार नगद 1 18 19 19 0 0
22211 इ(cid:66)धन (पदा(cid:9)धकार(cid:62)) नेपाल सरकार नगद 15 75 78 78 0 0
22213 सवार(cid:62) साधन ममत(cid:4) खच(cid:4) नेपाल सरकार नगद 57 49 48 48 0 0
22311 मसल(cid:66)द तथा काया(cid:4)लय सामा(cid:73)ी नेपाल सरकार नगद 14 39 35 35 0 0
22611 अनगु मन, मू(cid:79)यांकन खच(cid:4) नेपाल सरकार नगद 34 40 36 36 0 0
22711 (cid:14)व(cid:14)वध खच(cid:4) नेपाल सरकार नगद 1,24 1,88 2,03 2,03 0 0",,,,,,,,,,,
"3300110000001122 (cid:32)(cid:32)धधााननमम(cid:66)(cid:66)(cid:75)(cid:75)ीी ततथथाा ममिि(cid:66)(cid:66)(cid:75)(cid:75)पप(cid:60)(cid:60)ररषष(cid:112)(cid:112)ककोो ककााययाा(cid:4)ल(cid:4)लयय 3300,,3333 4488,,8833 5544,,2200 5544,,2200 00 00 P1 00 33",,,,,,,,,,,
"330011000000112233 चचााललुु 2299,,4400 4466,,0066 5500,,4444 5500,,4444 00 00",,,,,,,,,,,
