0,1,2,3,4,5,6,7,8,9,10,11
141,,,,,,,,,,,
शशीीषषक(cid:4)क(cid:4),(cid:6)(cid:6)ोोतत,(cid:9)(cid:9)ननककााससाा (cid:14)(cid:14)वव(cid:9)(cid:9)धध,"22008811//8822 ककोो
ययथथााथथ (cid:4) (cid:4)खखचच(cid:4)(cid:4)","22008822//8833 ककोो
ससंशंशोो(cid:9)(cid:9)धधतत अअननममुु ाानन",22008833//8844,,,,"(cid:32)(cid:32)ााथथ(cid:9)(cid:9)ममककतताा
ससंकंकेेतत","(cid:34)(cid:34)ददगगोो
(cid:14)(cid:14)ववककाासस
ससंकंकेेतत","ललै(cid:9)ै(cid:9)गगंकंक
ससंकंकेेतत"
,,,,,जज(cid:40)(cid:40)ममाा बबजजेटेट,ननेपेपाालल ससररककाारर,ववैदैदेेििशशकक,,,,
,,,,,,,अअननददुुाानन,ऋऋणण,,,
"22111 पानी तथा (cid:9)बजलु (cid:62) नेपाल सरकार नगद 35 1 0 0 0 0
22112 संचार महसलु नेपाल सरकार नगद 18 1 0 0 0 0
22212 इ(cid:66)धन (काया(cid:4)लय (cid:32)योजन) नेपाल सरकार नगद 55 6 0 0 0 0
22213 सवार(cid:62) साधन ममत(cid:4) खच(cid:4) नेपाल सरकार नगद 37 2 0 0 0 0
22214 वीमा तथा नवीकरण खच(cid:4) नेपाल सरकार नगद 13 1 0 0 0 0
22221 मेिशनर(cid:62) तथा औजार ममत(cid:4) स(cid:40)भार तथा स(cid:49)ालन खच(cid:4) नेपाल सरकार नगद 7 2 0 0 0 0
22311 मसल(cid:66)द तथा काया(cid:4)लय सामा(cid:73)ी नेपाल सरकार नगद 34 4 0 0 0 0
22314 इ(cid:66)धन - अ(cid:66)य (cid:32)योजन नेपाल सरकार नगद 2 1 0 0 0 0
22315 प(cid:75)प(cid:9)(cid:75)का, छपाई तथा सूचना (cid:32)काशन खच(cid:4) नेपाल सरकार नगद 9 5 0 0 0 0
22411 सेवा र परामश (cid:4)खच(cid:4) नेपाल सरकार नगद 6 5 0 0 0 0
22413 करार सेवा श(cid:79)ुक नेपाल सरकार नगद 2,75 25 0 0 0 0
22419 अ(cid:66)य सेवा श(cid:79)ुक नेपाल सरकार नगद 3 0 0 0 0 0
22512 सीप (cid:14)वकास तथा जनचेतना ता(cid:9)लम तथा गो(cid:92)ी स(cid:40)ब(cid:66)धी खच(cid:4) नेपाल सरकार नगद 21 35 0 0 0 0
22611 अनगु मन, मू(cid:79)यांकन खच(cid:4) नेपाल सरकार नगद 30 5 0 0 0 0
22612 (cid:85)मण खच(cid:4) नेपाल सरकार नगद 12 0 0 0 0 0
22711 (cid:14)व(cid:14)वध खच(cid:4) नेपाल सरकार नगद 14 2 0 0 0 0
28142 घर भाडा नेपाल सरकार नगद 75 0 0 0 0 0
28219 अ(cid:66)य (cid:14)फता(cid:4) नेपाल सरकार नगद 0 11 0 0 0 0",,,,,,,,,,,
"330088003311006644 पपजँजँुु ीीगगतत 44,,8899,,4433 44,,9944,,0055 44,,6600,,2288 44,,6600,,2288 00 00",,,,,,,,,,,
"31135 पजँु ीगत परामश(cid:4) नेपाल सरकार नगद 47 2,39 1,68 1,68 0 0
31154 तटब(cid:66)ध तथा बाँध (cid:9)नमा(cid:4)ण नेपाल सरकार नगद 3,58,38 4,32,19 4,58,60 4,58,60 0 0
31154 तटब(cid:66)ध तथा बाँध (cid:9)नमा(cid:4)ण ए (cid:9)ड (cid:14)व/(cid:14)प (cid:14)व एल - (cid:14)प एफ नगद ऋण (41) 0 59,47 0 0 0 0
एम(2101009)(बजेट सहायता)
31154 तटब(cid:66)ध तथा बाँध (cid:9)नमा(cid:4)ण वड (cid:4)बैक - (cid:88)याट डी. डी. ओ. नगद ऋण (41) 16,75 0 0 0 0 0
(2103011)
31154 तटब(cid:66)ध तथा बाँध (cid:9)नमा(cid:4)ण आई (cid:9)ड ए/(cid:9)ड (cid:14)प (cid:9)स - नगद ऋण (41) 1,75 0 0 0 0 0
(cid:9)(cid:73)ड(2103013)(बजेट सहायता)
31154 तटब(cid:66)ध तथा बाँध (cid:9)नमा(cid:4)ण आई एम एफ / ई (cid:9)स एफ(2104003) नगद ऋण (41) 1,05,56 0 0 0 0 0
(बजेट सहायता)
31155 (cid:9)संचाई संरचना (cid:9)नमा(cid:4)ण नेपाल सरकार नगद 6,52 0 0 0 0 0",,,,,,,,,,,
"3300880033110077 जजलल उउ(cid:94)(cid:94)पप(cid:107)(cid:107) (cid:32)(cid:32)ककोोपप (cid:9)(cid:9)ननयय(cid:66)(cid:66)(cid:75)(cid:75)णण (cid:32)(cid:32)(cid:14)(cid:14)वव(cid:9)(cid:9)धध पप(cid:60)(cid:60)ररययोोजजननाा 2211,,2200 3333,,7722 3300,,8899 3300,,8899 00 00 P2 1111 22",,,,,,,,,,,
"330088003311007733 चचााललुु 4433 5577 11,,8833 11,,8833 00 00",,,,,,,,,,,
"21111 पा(cid:60)र(cid:61)(cid:9)मक कमच(cid:4) ार(cid:62) नेपाल सरकार नगद 0 0 74 74 0 0
21121 पोशाक नेपाल सरकार नगद 0 0 1 1 0 0
21132 महंगी भ(cid:64)ा नेपाल सरकार नगद 0 0 6 6 0 0
21134 कमच(cid:4) ार(cid:62)को बैठक भ(cid:64)ा नेपाल सरकार नगद 0 0 2 2 0 0
21139 अ(cid:66)य भ(cid:64)ा नेपाल सरकार नगद 0 0 0 0 0 0",,,,,,,,,,,
,,,,,,,,,,,
