0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
Urban Water Supply and Sanitation ( Sector ) Project,0,,,,,0,608,7994,,8602,8602
"313011083 Recurrent 0 0 429 429 429
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 429 429 429
313011084 Capital 0 0 608 7565 8173 8173
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 608 7565 8173 8173",0,,,,,0,,429,,429,429
Integrated Water Supply and Sewage Management Project,0,,,,,0,,,1637,1637,1637
"313011144 Capital 0 0 1637 1637 1637
GoN Ref: Counterpart 0
2101001 ADB - General Code 0 0 1637 1637 1637",0,,,,,0,,,1637,1637,1637
Covid-19 Response Programme,0,94,682,,,776,,,,0,776
"313011153 Recurrent 0 48 48 0 48
GoN Ref: Counterpart 0
2101002 JFPR Code 0 48 48 0 48
313011154 Capital 0 94 634 728 0 728
GoN Ref: Counterpart 0
2101002 JFPR Code 0 94 634 728 0 728",0,,48,,,48,,,,0,48
"Water Sector Governance and Infrastructure Support Project
(WSGISP)",0,,,,,0,,3750,,3750,3750
Tourism Infrastructure Development Program,0,,,1200,,1200,,,,0,1200
"325011063 Recurrent 0 1200 1200 0 1200
GoN Ref: Counterpart 0
2223002 Switzerland - SDC Code 0 1200 1200 0 1200",0,,,1200,,1200,,,,0,1200
7,,,,,,,,,,,
