0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"801051313 Recurrent 0 17 73 90 149 149 239
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 73 73 149 149 222
Code 0
2229001 EU - General Code 0 17 17 0 17",0,17,73,,,90,,149,,149,239
"801051323 Recurrent 0 17 118 135 238 238 373
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 118 118 238 238 356
Code 0
2229001 EU - General Code 0 17 17 0 17",0,17,118,,,135,,238,,238,373
"801053013 Recurrent 0 20 48 68 97 97 165
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 48 48 97 97 145
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,48,,,68,,97,,97,165
"801053023 Recurrent 0 20 62 82 126 126 208
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 62 62 126 126 188
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,62,,,82,,126,,126,208
"801053033 Recurrent 0 20 68 88 136 136 224
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 68 68 136 136 204
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,68,,,88,,136,,136,224
"801053043 Recurrent 0 20 81 101 93 93 194
GoN Ref: Counterpart 0
2103003 WB - Trust Fund Code 0 35 35 0 35
2116001 School Education Sector Plan (SESP)- Pool Fund 46 46 93 93 139
Code 0
2229001 EU - General Code 0 20 20 0 20",0,20,81,,,101,,93,,93,194
801053053 Recurrent 0 35 40 75 81 81 156,0,35,40,,,75,,81,,81,156
111,,,,,,,,,,,
