0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2229001 EU - General Code 0 3 3 0 3,,,,,,,,,,,
"801013383 Recurrent 0 47 33 80 67 67 147
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 33 33 67 67 100
Code 0
2223002 Switzerland - SDC Code 0 44 44 0 44
2229001 EU - General Code 0 3 3 0 3",0,47,33,,,80,,67,,67,147
"801013393 Recurrent 0 40 37 77 75 75 152
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 37 37 75 75 112
Code 0
2223002 Switzerland - SDC Code 0 37 37 0 37
2229001 EU - General Code 0 3 3 0 3",0,40,37,,,77,,75,,75,152
"801013403 Recurrent 0 165 52 217 106 106 323
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 52 52 106 106 158
Code 0
2223002 Switzerland - SDC Code 0 162 162 0 162
2229001 EU - General Code 0 3 3 0 3",0,165,52,,,217,,106,,106,323
"801013413 Recurrent 0 3 31 34 63 63 97
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 31 31 63 63 94
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,31,,,34,,63,,63,97
"801013423 Recurrent 0 16 34 50 69 69 119
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 34 34 69 69 103
Code 0
2223002 Switzerland - SDC Code 0 13 13 0 13
2229001 EU - General Code 0 3 3 0 3",0,16,34,,,50,,69,,69,119
"801013433 Recurrent 0 104 37 141 74 74 215
GoN Ref: Counterpart 0",0,104,37,,,141,,74,,74,215
40,,,,,,,,,,,
