0,1,2,3,4,5,6,7,8,9,10,11
83,,,,,,,,,,,
शशीीषषक(cid:4)क(cid:4),(cid:6)(cid:6)ोोतत,(cid:9)(cid:9)ननककााससाा (cid:14)(cid:14)वव(cid:9)(cid:9)धध,"22008811//8822 ककोो
ययथथााथथ (cid:4) (cid:4)खखचच(cid:4)(cid:4)","22008822//8833 ककोो
ससंशंशोो(cid:9)(cid:9)धधतत अअननममुु ाानन",22008833//8844,,,,"(cid:32)(cid:32)ााथथ(cid:9)(cid:9)ममककतताा
ससंकंकेेतत","(cid:34)(cid:34)ददगगोो
(cid:14)(cid:14)ववककाासस
ससंकंकेेतत","ललै(cid:9)ै(cid:9)गगंकंक
ससंकंकेेतत"
,,,,,जज(cid:40)(cid:40)ममाा बबजजेटेट,ननेपेपाालल ससररककाारर,ववैदैदेेििशशकक,,,,
,,,,,,,अअननददुुाानन,ऋऋणण,,,
"3300550000110011 ससााननाा (cid:14)(cid:14)ककससाानन (cid:14)(cid:14)ववककाासस बब(cid:120)क(cid:120)क (((cid:9)(cid:9)बबिि(cid:64)(cid:64)यय ससं(cid:52)ं(cid:52)थथाा)),, (cid:14)(cid:14)वव(cid:14)(cid:14)ववधध 88,,0000 77,,6688 88,,0000 88,,0000 00 00 P2 22 11",,,,,,,,,,,
"330055000011001133 चचााललुु 88,,0000 77,,6688 88,,0000 88,,0000 00 00",,,,,,,,,,,
"3300550000110022 ललघघ ु ु(cid:14)(cid:14)ववममाा ससहहययोोगग ककाायय(cid:80)(cid:4)(cid:80)(cid:4) मम ((पपशश,,ुु बबाालल(cid:62)(cid:62),, (cid:52)(cid:52)ववाा(cid:52)(cid:52)(cid:117)(cid:117)यय )) 1133,,9955 3355,,9944 3355,,9944 3355,,9944 00 00 P1 22 11",,,,,,,,,,,
"330055000011002233 चचााललुु 1133,,9955 3355,,9944 3355,,9944 3355,,9944 00 00",,,,,,,,,,,
"3300550000110055 बबजजेटेट ससधधुु ाारर आआययोोजजननाा 1111 1111,,6699 88,,3322 88,,3322 00 00 P2 00 22",,,,,,,,,,,
"330055000011005533 चचााललुु 1111 44,,2211 55,,8899 55,,8899 00 00",,,,,,,,,,,
"330055000011005544 पपजँजँुु ीीगगतत 00 77,,4488 22,,4433 22,,4433 00 00",,,,,,,,,,,
"3300550000110088 (cid:9)(cid:9)मम(cid:9)(cid:9)लल(cid:9)(cid:9)ननययमम (cid:99)(cid:99)ययाालले(cid:66)े(cid:66)जज एएककााउउ(cid:91)(cid:91)टट ननेपेपाालल 22,,3333,,7733 77,,4499,,1133 2299,,3344,,4444 55,,5555,,7766 2233,,7788,,6688 00 P1 88 22",,,,,,,,,,,
"330055000011008833 चचााललुु 6611,,5500 8822,,9966 11,,3344,,6644 77,,4499 11,,2277,,1155 00",,,,,,,,,,,
