0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"801043383 Recurrent 0 3 36 39 72 72 111
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 36 36 72 72 108
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,36,,,39,,72,,72,111
"801043393 Recurrent 0 3 26 29 53 53 82
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 26 26 53 53 79
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,26,,,29,,53,,53,82
"801043403 Recurrent 0 3 23 26 46 46 72
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 23 23 46 46 69
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,23,,,26,,46,,46,72
"801043413 Recurrent 0 3 46 49 92 92 141
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 46 46 92 92 138
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,46,,,49,,92,,92,141
"801043423 Recurrent 0 3 36 39 74 74 113
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 36 36 74 74 110
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,36,,,39,,74,,74,113
"801043433 Recurrent 0 3 43 46 87 87 133
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 43 43 87 87 130
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,43,,,46,,87,,87,133
801043443 Recurrent 0 3 21 24 42 42 66,0,3,21,,,24,,42,,42,66
101,,,,,,,,,,,
