0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2229001 EU - General Code 0 3 3 0 3,,,,,,,,,,,
"801011383 Recurrent 0 3 103 106 3373 3373 3479
GoN Ref: Counterpart 0
2103001 IDA - General Code 0 0 3164 3164 3164
2116001 School Education Sector Plan (SESP)- Pool Fund 103 103 209 209 312
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,103,,,106,,3373,,3373,3479
"801011393 Recurrent 0 3 75 78 152 152 230
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 75 75 152 152 227
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,75,,,78,,152,,152,230
"801011403 Recurrent 0 87 88 175 178 178 353
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 88 88 178 178 266
Code 0
2223002 Switzerland - SDC Code 0 66 66 0 66
2229001 EU - General Code 0 21 21 0 21",0,87,88,,,175,,178,,178,353
"801011413 Recurrent 0 21 66 87 134 134 221
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 66 66 134 134 200
Code 0
2229001 EU - General Code 0 21 21 0 21",0,21,66,,,87,,134,,134,221
"801011423 Recurrent 0 106 125 231 252 252 483
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 125 125 252 252 377
Code 0
2223002 Switzerland - SDC Code 0 85 85 0 85
2229001 EU - General Code 0 21 21 0 21",0,106,125,,,231,,252,,252,483
"801011433 Recurrent 0 39 89 128 181 181 309
GoN Ref: Counterpart 0",0,39,89,,,128,,181,,181,309
32,,,,,,,,,,,
