0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"801013493 Recurrent 0 3 113 116 230 230 346
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 113 113 230 230 343
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,113,,,116,,230,,230,346
"801013503 Recurrent 0 3 46 49 91 91 140
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 46 46 91 91 137
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,46,,,49,,91,,91,140
"801013513 Recurrent 0 3 75 78 150 150 228
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 75 75 150 150 225
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,75,,,78,,150,,150,228
"801013523 Recurrent 0 3 57 60 114 114 174
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 57 57 114 114 171
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,57,,,60,,114,,114,174
"801013533 Recurrent 0 3 84 87 168 168 255
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 84 84 168 168 252
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,84,,,87,,168,,168,255
"801013543 Recurrent 0 3 108 111 216 216 327
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 108 108 216 216 324
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,108,,,111,,216,,216,327
801013553 Recurrent 0 56 45 101 89 89 190,0,56,45,,,101,,89,,89,190
42,,,,,,,,,,,
