0,1,2,3,4,5,6,7,8,9,10,11
184,,,,,,,,,,,
शशीीषषक(cid:4)क(cid:4),(cid:6)(cid:6)ोोतत,(cid:9)(cid:9)ननककााससाा (cid:14)(cid:14)वव(cid:9)(cid:9)धध,"22008811//8822 ककोो
ययथथााथथ (cid:4) (cid:4)खखचच(cid:4)(cid:4)","22008822//8833 ककोो
ससंशंशोो(cid:9)(cid:9)धधतत अअननममुु ाानन",22008833//8844,,,,"(cid:32)(cid:32)ााथथ(cid:9)(cid:9)ममककतताा
ससंकंकेेतत","(cid:34)(cid:34)ददगगोो
(cid:14)(cid:14)ववककाासस
ससंकंकेेतत","ललै(cid:9)ै(cid:9)गगंकंक
ससंकंकेेतत"
,,,,,जज(cid:40)(cid:40)ममाा बबजजेटेट,ननेपेपाालल ससररककाारर,ववैदैदेेििशशकक,,,,
,,,,,,,अअननददुुाानन,ऋऋणण,,,
331122000011009944 पपजँजँुु ीीगगतत 66 11 00 00 00 00,,,,,,,,,,,
"3311220000111122 ननेपेपाालल ककृृ(cid:14)(cid:14)षष बबजजाारर (cid:14)(cid:14)ववककाासस ककाायय(cid:80)(cid:4)(cid:80)(cid:4) मम 2277,,6677 44,,6655 00 00 00 00 P1 22 11",,,,,,,,,,,
"331122000011112233 चचााललुु 2277,,6677 44,,6655 00 00 00 00",,,,,,,,,,,
331122000011112244 पपजँजँुु ीीगगतत 00 00 00 00 00 00,,,,,,,,,,,
"31122 मेिशनर(cid:62) तथा औजार (cid:52)वी(cid:126)जर(cid:79)या(cid:91)ड-एस डी सी(2223002) सोझै भ(cid:102)ु ानी अनदु ान (32) 0 0 0 0 0 0
31123 फ(cid:9)नच(cid:4) र तथा (cid:14)फ(cid:88)चस(cid:4) (cid:52)वी(cid:126)जर(cid:79)या(cid:91)ड-एस डी सी(2223002) सोझै भ(cid:102)ु ानी अनदु ान (32) 0 0 0 0 0 0",,,,,,,,,,,
"3311220000111188 (cid:73)(cid:73)ााममीीणण उउ(cid:106)(cid:106)मम ततथथाा आआ(cid:9)(cid:9)थथक(cid:4)क(cid:4) (cid:14)(cid:14)ववककाासस ककाायय(cid:80)(cid:4)(cid:80)(cid:4) मम 11,,6644,,7700 4455,,8811 00 00 00 00 P1 11 11",,,,,,,,,,,
