0,1,2,3,4,5,6,7,8,9,10,11
10,,,,,,,,,,,
शशीीषषक(cid:4)क(cid:4),(cid:6)(cid:6)ोोतत,(cid:9)(cid:9)ननककााससाा (cid:14)(cid:14)वव(cid:9)(cid:9)धध,"22008811//8822 ककोो
ययथथााथथ (cid:4) (cid:4)खखचच(cid:4)(cid:4)","22008822//8833 ककोो
ससंशंशोो(cid:9)(cid:9)धधतत अअननममुु ाानन",22008833//8844,,,,"(cid:32)(cid:32)ााथथ(cid:9)(cid:9)ममककतताा
ससंकंकेेतत","(cid:34)(cid:34)ददगगोो (cid:14)(cid:14)ववककाासस
ससंकंकेेतत",ललै(cid:9)ै(cid:9)गगंकंक ससंकंकेेतत
,,,,,जज(cid:40)(cid:40)ममाा बबजजेटेट,ननेपेपाालल ससररककाारर,ववैदैदेेििशशकक,,,,
,,,,,,,अअननददुुाानन,ऋऋणण,,,
223322000000001133 चचााललुु 9999 9911 8855 8855 00 00,,,,,,,,,,,
2233440000000011 ममििुु(cid:96)(cid:96)ललमम आआययोोगग 6633 8866 9900 9900 00 00 P11 99 22,,,,,,,,,,,
223344000000001133 चचााललुु 6633 8866 9900 9900 00 00,,,,,,,,,,,
"5500220011000011 रराा(cid:14)(cid:14)(cid:57)(cid:57)यय बबचचतत पप(cid:92)(cid:92) 11,,2200,,1177 11,,8800,,0000 11,,6622,,0000 11,,6622,,0000 00 00 P11 00 33",,,,,,,,,,,
"550022001100001133 चचााललुु 11,,2200,,1177 11,,8800,,0000 11,,6622,,0000 11,,6622,,0000 00 00",,,,,,,,,,,
"5500220011000022 (cid:14)(cid:14)ववककाासस ऋऋणण 4499,,1188,,2222 6600,,0000,,0000 6655,,3366,,0000 6655,,3366,,0000 00 00 P11 00 33",,,,,,,,,,,
"550022001100002233 चचााललुु 4499,,1188,,2222 6600,,0000,,0000 6655,,3366,,0000 6655,,3366,,0000 00 00",,,,,,,,,,,
"5500220011000033 (cid:98)(cid:98)ेेजजरर(cid:60)(cid:60) (cid:9)(cid:9)बबलल 99,,8888,,8855 2277,,7799,,1144 1155,,2255,,0000 1155,,2255,,0000 00 00 P11 00 33",,,,,,,,,,,
"550022001100003333 चचााललुु 99,,8888,,8855 2277,,7799,,1144 1155,,2255,,0000 1155,,2255,,0000 00 00",,,,,,,,,,,
"5500220011000044 रराा(cid:14)(cid:14)(cid:57)(cid:57)यय ऋऋणण कक(cid:9)(cid:9)ममशशनन 6688 55,,0000 22,,0000 22,,0000 00 00 P11 00 33",,,,,,,,,,,
"550022001100004433 चचााललुु 6688 55,,0000 22,,0000 22,,0000 00 00",,,,,,,,,,,
