0,1,2,3,4,5,6,7,8,9,10,11
,GoN,Foreign Grant,,,,,Foreign Loan,,,,"Total
Budget"
,,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
2229001 EU - General Code 0 18 18 0 18,,,,,,,,,,,
"801013153 Recurrent 0 18 63 81 128 128 209
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 63 63 128 128 191
Code 0
2229001 EU - General Code 0 18 18 0 18",0,18,63,,,81,,128,,128,209
"801013163 Recurrent 0 3 47 50 96 96 146
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 47 47 96 96 143
Code 0
2229001 EU - General Code 0 3 3 0 3",0,3,47,,,50,,96,,96,146
"801013173 Recurrent 0 70 70 140 140 140 280
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 70 70 140 140 210
Code 0
2223002 Switzerland - SDC Code 0 67 67 0 67
2229001 EU - General Code 0 3 3 0 3",0,70,70,,,140,,140,,140,280
"801013183 Recurrent 0 55 47 102 95 95 197
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 47 47 95 95 142
Code 0
2223002 Switzerland - SDC Code 0 52 52 0 52
2229001 EU - General Code 0 3 3 0 3",0,55,47,,,102,,95,,95,197
"801013193 Recurrent 0 56 46 102 94 94 196
GoN Ref: Counterpart 0
2116001 School Education Sector Plan (SESP)- Pool Fund 46 46 94 94 140
Code 0
2223002 Switzerland - SDC Code 0 53 53 0 53
2229001 EU - General Code 0 3 3 0 3",0,56,46,,,102,,94,,94,196
"801013203 Recurrent 0 7 42 49 84 84 133
GoN Ref: Counterpart 0",0,7,42,,,49,,84,,84,133
36,,,,,,,,,,,
